Üniversite,Bölüm,İmam Hatip Sayısı,İmam Hatip Oranı,URL
"GÜMÜŞHANE ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","53","% 42,7","https://yokatlas.yok.gov.tr/lisans.php?y=104710248"
"HAKKARİ ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","31","% 24,8","https://yokatlas.yok.gov.tr/lisans.php?y=104910122"
"HARRAN ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","45","% 39,1","https://yokatlas.yok.gov.tr/lisans.php?y=105010376"
"HATAY MUSTAFA KEMAL ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","11","% 30,6","https://yokatlas.yok.gov.tr/lisans.php?y=107790353"
"HİTİT ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","55","% 44,0","https://yokatlas.yok.gov.tr/lisans.php?y=105110084"
"IĞDIR ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","27","% 21,6","https://yokatlas.yok.gov.tr/lisans.php?y=105210029"
"İNÖNÜ ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","60","% 37,3","https://yokatlas.yok.gov.tr/lisans.php?y=105310594"
"İSTANBUL MEDENİYET ÜNİVERSİTESİ (Almanca) (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","11","% 50,0","https://yokatlas.yok.gov.tr/lisans.php?y=105490246"
"İSTANBUL MEDENİYET ÜNİVERSİTESİ (KKTC Uyruklu) (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=105490260"
"İSTANBUL MEDENİYET ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","27","% 64,3","https://yokatlas.yok.gov.tr/lisans.php?y=105490274"
"İSTANBUL ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","58","% 62,4","https://yokatlas.yok.gov.tr/lisans.php?y=105611262"
"İSTANBUL ÜNİVERSİTESİ (İngilizce) (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","14","% 50,0","https://yokatlas.yok.gov.tr/lisans.php?y=105611271"
"İSTANBUL ÜNİVERSİTESİ (Arapça) (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","15","% 53,6","https://yokatlas.yok.gov.tr/lisans.php?y=105611614"
"İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","35","% 33,3","https://yokatlas.yok.gov.tr/lisans.php?y=105761165"
"İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ (KKTC Uyruklu) (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=105761270"
"KAFKAS ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","40","% 34,8","https://yokatlas.yok.gov.tr/lisans.php?y=105910322"
"KAHRAMANMARAŞ SÜTÇÜ İMAM ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","51","% 40,8","https://yokatlas.yok.gov.tr/lisans.php?y=106010425"
"KARABÜK ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","38","% 45,8","https://yokatlas.yok.gov.tr/lisans.php?y=106190208"
"KARAMANOĞLU MEHMETBEY ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","38","% 39,6","https://yokatlas.yok.gov.tr/lisans.php?y=106390248"
"KASTAMONU ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","64","% 56,1","https://yokatlas.yok.gov.tr/lisans.php?y=106410272"
"KIRKLARELİ ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","36","% 37,5","https://yokatlas.yok.gov.tr/lisans.php?y=106710242"
"KIRŞEHİR AHİ EVRAN ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","33","% 45,2","https://yokatlas.yok.gov.tr/lisans.php?y=100690143"
"KİLİS 7 ARALIK ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","48","% 35,0","https://yokatlas.yok.gov.tr/lisans.php?y=106810214"
"KOCAELİ ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","55","% 48,2","https://yokatlas.yok.gov.tr/lisans.php?y=106910779"
"KÜTAHYA DUMLUPINAR ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","59","% 56,2","https://yokatlas.yok.gov.tr/lisans.php?y=103290359"
"MANİSA CELÂL BAYAR ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","35","% 40,2","https://yokatlas.yok.gov.tr/lisans.php?y=102590176"
"MANİSA CELÂL BAYAR ÜNİVERSİTESİ (KKTC Uyruklu) (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=102590433"
"MARDİN ARTUKLU ÜNİVERSİTESİ (Arapça) (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","15","% 20,5","https://yokatlas.yok.gov.tr/lisans.php?y=107190200"
"MARDİN ARTUKLU ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","16","% 30,2","https://yokatlas.yok.gov.tr/lisans.php?y=107190214"
"MARMARA ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","165","% 73,7","https://yokatlas.yok.gov.tr/lisans.php?y=107210465"
"MARMARA ÜNİVERSİTESİ (İngilizce) (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","20","% 54,1","https://yokatlas.yok.gov.tr/lisans.php?y=107210959"
"MARMARA ÜNİVERSİTESİ (Arapça) (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","26","% 70,3","https://yokatlas.yok.gov.tr/lisans.php?y=107211181"
"MERSİN ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","23","% 36,5","https://yokatlas.yok.gov.tr/lisans.php?y=107490429"
"MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","27","% 35,5","https://yokatlas.yok.gov.tr/lisans.php?y=107690396"
"MUŞ ALPARSLAN ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","27","% 37,0","https://yokatlas.yok.gov.tr/lisans.php?y=107890104"
"NECMETTİN ERBAKAN ÜNİVERSİTESİ  (4 Yıllık)
(Ahmet Keleşoğlu İlahiyat Fakültesi)","İLAHİYAT","110","% 61,8","https://yokatlas.yok.gov.tr/lisans.php?y=107010237"
"NECMETTİN ERBAKAN ÜNİVERSİTESİ (Arapça) (4 Yıllık)
(Ahmet Keleşoğlu İlahiyat Fakültesi)","İLAHİYAT","17","% 51,5","https://yokatlas.yok.gov.tr/lisans.php?y=107010661"
"NECMETTİN ERBAKAN ÜNİVERSİTESİ (KKTC Uyruklu) (4 Yıllık)
(Ahmet Keleşoğlu İlahiyat Fakültesi)","İLAHİYAT","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=107090536"
"NEVŞEHİR HACI BEKTAŞ VELİ ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","49","% 46,7","https://yokatlas.yok.gov.tr/lisans.php?y=108010349"
"ONDOKUZ MAYIS ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","120","% 63,8","https://yokatlas.yok.gov.tr/lisans.php?y=108210302"
"ONDOKUZ MAYIS ÜNİVERSİTESİ (KKTC Uyruklu) (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=108290600"
"ORDU ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","57","% 59,4","https://yokatlas.yok.gov.tr/lisans.php?y=108390203"
"OSMANİYE KORKUT ATA ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","33","% 47,8","https://yokatlas.yok.gov.tr/lisans.php?y=108510202"
"PAMUKKALE ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","47","% 41,2","https://yokatlas.yok.gov.tr/lisans.php?y=108610625"
"RECEP TAYYİP ERDOĞAN ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","61","% 48,8","https://yokatlas.yok.gov.tr/lisans.php?y=108710209"
"RECEP TAYYİP ERDOĞAN ÜNİVERSİTESİ (KKTC Uyruklu) (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=108790126"
"SAKARYA ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","95","% 50,5","https://yokatlas.yok.gov.tr/lisans.php?y=108810783"
"SAMSUN ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","22","% 57,9","https://yokatlas.yok.gov.tr/lisans.php?y=112771134"
"SELÇUK ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","59","% 61,5","https://yokatlas.yok.gov.tr/lisans.php?y=108990554"
"SİİRT ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","36","% 34,3","https://yokatlas.yok.gov.tr/lisans.php?y=109010213"
"SİNOP ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","46","% 47,9","https://yokatlas.yok.gov.tr/lisans.php?y=109190108"
"SİVAS CUMHURİYET ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","65","% 45,5","https://yokatlas.yok.gov.tr/lisans.php?y=102610704"
"SÜLEYMAN DEMİREL ÜNİVERSİTESİ  (4 Yıllık)
(İlahiyat Fakültesi)","İLAHİYAT","78","% 47,0","https://yokatlas.yok.gov.tr/lisans.php?y=109211006"
