Üniversite Adı,Üniversite Türü,Bölüm,İH 2023 Sayı,İH 2023 Oran,İH 2024 Sayı,İH 2024 Oran,İH 2025 Sayı,İH 2025 Oran,URL
"İSTANBUL TOPKAPI ÜNİVERSİTESİ (İSTANBUL)","Vakıf","ERGOTERAPİ","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=205090646"
"İZMİR TINAZTEPE ÜNİVERSİTESİ (İZMİR)","Vakıf","ERGOTERAPİ","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","1","% 2,0","https://yokatlas.yok.gov.tr/lisans.php?y=209610089"
"İZMİR TINAZTEPE ÜNİVERSİTESİ (İZMİR)","Vakıf","ERGOTERAPİ","1","%14,3","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=209610082"
"LOKMAN HEKİM ÜNİVERSİTESİ (ANKARA)","Vakıf","ERGOTERAPİ","1","%2,9","2","% 5,9","1","% 2,9","https://yokatlas.yok.gov.tr/lisans.php?y=208810075"
"LOKMAN HEKİM ÜNİVERSİTESİ (ANKARA)","Vakıf","ERGOTERAPİ","Bulunamadı","Bulunamadı","1","% 14,3","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=208810074"
"ÜSKÜDAR ÜNİVERSİTESİ (İSTANBUL)","Vakıf","ERGOTERAPİ","6","%14,3","2","% 5,4","7","% 13,0","https://yokatlas.yok.gov.tr/lisans.php?y=206510597"
"ÜSKÜDAR ÜNİVERSİTESİ (İSTANBUL)","Vakıf","ERGOTERAPİ","2","%25,0","2","% 25,0","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=206510579"
"YÜKSEK İHTİSAS ÜNİVERSİTESİ (ANKARA)","Vakıf","ERGOTERAPİ","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=207950391"
"YÜKSEK İHTİSAS ÜNİVERSİTESİ (ANKARA)","Vakıf","ERGOTERAPİ","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=207950398"
"YÜKSEK İHTİSAS ÜNİVERSİTESİ (ANKARA)","Vakıf","ERGOTERAPİ","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=207950405"
"GİRNE AMERİKAN ÜNİVERSİTESİ (KKTC-GİRNE)","KKTC","ERGOTERAPİ","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=300290445"
"GİRNE AMERİKAN ÜNİVERSİTESİ (KKTC-GİRNE)","KKTC","ERGOTERAPİ","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=300211516"
"YAKIN DOĞU ÜNİVERSİTESİ (KKTC-LEFKOŞA)","KKTC","ERGOTERAPİ","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=300590430"
"YAKIN DOĞU ÜNİVERSİTESİ (KKTC-LEFKOŞA)","KKTC","ERGOTERAPİ","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","3","% 23,1","https://yokatlas.yok.gov.tr/lisans.php?y=300512238"
"ANKARA ÜNİVERSİTESİ (ANKARA)","Devlet","ERMENİ DİLİ VE KÜLTÜRÜ","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=101190216"
"ERCİYES ÜNİVERSİTESİ (KAYSERİ)","Devlet","ERMENİ DİLİ VE KÜLTÜRÜ","1","%3,9","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=103590351"
"AKDENİZ ÜNİVERSİTESİ (ANTALYA)","Devlet","ESKİ YUNAN DİLİ VE EDEBİYATI","1","%2,4","Bulunamadı","Bulunamadı","1","% 2,4","https://yokatlas.yok.gov.tr/lisans.php?y=100710066"
"İSTANBUL ÜNİVERSİTESİ (İSTANBUL)","Devlet","ESKİ YUNAN DİLİ VE EDEBİYATI","2","%3,7","4","% 7,7","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=105610131"
"ANKARA ÜNİVERSİTESİ (ANKARA)","Devlet","FARS DİLİ VE EDEBİYATI","1","%1,9","3","% 5,8","5","% 9,6","https://yokatlas.yok.gov.tr/lisans.php?y=101110121"
"ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ (ANKARA)","Devlet","FARS DİLİ VE EDEBİYATI","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=110090221"
"ATATÜRK ÜNİVERSİTESİ (ERZURUM)","Devlet","FARS DİLİ VE EDEBİYATI","3","%9,7","6","% 16,7","2","% 5,6","https://yokatlas.yok.gov.tr/lisans.php?y=101410084"
"İSTANBUL MEDENİYET ÜNİVERSİTESİ (İSTANBUL)","Devlet","FARS DİLİ VE EDEBİYATI","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=105490211"
"İSTANBUL ÜNİVERSİTESİ (İSTANBUL)","Devlet","FARS DİLİ VE EDEBİYATI","10","%13,7","3","% 4,2","5","% 6,9","https://yokatlas.yok.gov.tr/lisans.php?y=105610149"
"MARDİN ARTUKLU ÜNİVERSİTESİ (MARDİN)","Devlet","FARS DİLİ VE EDEBİYATI","1","%4,6","Bulunamadı","Bulunamadı","2","% 9,5","https://yokatlas.yok.gov.tr/lisans.php?y=107110193"
"SELÇUK ÜNİVERSİTESİ (KONYA)","Devlet","FARS DİLİ VE EDEBİYATI","2","%9,5","5","% 19,2","3","% 11,5","https://yokatlas.yok.gov.tr/lisans.php?y=108910252"
"VAN YÜZÜNCÜ YIL ÜNİVERSİTESİ (VAN)","Devlet","FARS DİLİ VE EDEBİYATI","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=110290248"
"KARAMANOĞLU MEHMETBEY ÜNİVERSİTESİ (KARAMAN)","Devlet","FARSÇA MÜTERCİM VE TERCÜMANLIK","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=106390234"
"KIRIKKALE ÜNİVERSİTESİ (KIRIKKALE)","Devlet","FARSÇA MÜTERCİM VE TERCÜMANLIK","1","%4,8","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=106690384"
"AFYON KOCATEPE ÜNİVERSİTESİ (AFYONKARAHİSAR)","Devlet","FELSEFE","9","%21,4","1","% 2,4","2","% 5,4","https://yokatlas.yok.gov.tr/lisans.php?y=100410924"
"AKDENİZ ÜNİVERSİTESİ (ANTALYA)","Devlet","FELSEFE","2","%2,7","Bulunamadı","Bulunamadı","1","% 2,7","https://yokatlas.yok.gov.tr/lisans.php?y=100710075"
"AKSARAY ÜNİVERSİTESİ (AKSARAY)","Devlet","FELSEFE","2","%9,1","3","% 13,6","1","% 4,5","https://yokatlas.yok.gov.tr/lisans.php?y=100810356"
"ANADOLU ÜNİVERSİTESİ (ESKİŞEHİR)","Devlet","FELSEFE","1","%1,9","2","% 3,7","2","% 5,4","https://yokatlas.yok.gov.tr/lisans.php?y=101010034"
"ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ (ANKARA)","Devlet","FELSEFE","3","%4,7","3","% 7,1","1","% 2,7","https://yokatlas.yok.gov.tr/lisans.php?y=111710096"
"ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ (ANKARA)","Devlet","FELSEFE","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=110910371"
"ANKARA ÜNİVERSİTESİ (ANKARA)","Devlet","FELSEFE","1","%2,4","1","% 3,2","1","% 2,4","https://yokatlas.yok.gov.tr/lisans.php?y=101110139"
"ANKARA ÜNİVERSİTESİ (ANKARA)","Devlet","FELSEFE","Bulunamadı","Bulunamadı","1","% 4,8","1","% 4,8","https://yokatlas.yok.gov.tr/lisans.php?y=101190201"
"ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ (ANKARA)","Devlet","FELSEFE","3","%4,1","4","% 7,4","1","% 2,4","https://yokatlas.yok.gov.tr/lisans.php?y=110010129"
"ARDAHAN ÜNİVERSİTESİ (ARDAHAN)","Devlet","FELSEFE","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=101290121"
"ARTVİN ÇORUH ÜNİVERSİTESİ (ARTVİN)","Devlet","FELSEFE","2","%6,3","2","% 6,3","3","% 9,4","https://yokatlas.yok.gov.tr/lisans.php?y=101310261"
"ATATÜRK ÜNİVERSİTESİ (ERZURUM)","Devlet","FELSEFE","10","%18,5","4","% 9,8","1","% 2,8","https://yokatlas.yok.gov.tr/lisans.php?y=101410093"
"AYDIN ADNAN MENDERES ÜNİVERSİTESİ (AYDIN)","Devlet","FELSEFE","3","%5,6","2","% 3,7","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=100310079"
"BARTIN ÜNİVERSİTESİ (BARTIN)","Devlet","FELSEFE","2","%6,3","1","% 3,1","4","% 12,5","https://yokatlas.yok.gov.tr/lisans.php?y=101610294"
"BİNGÖL ÜNİVERSİTESİ (BİNGÖL)","Devlet","FELSEFE","3","%9,4","4","% 12,5","1","% 3,1","https://yokatlas.yok.gov.tr/lisans.php?y=102010137"
"BOĞAZİÇİ ÜNİVERSİTESİ (İSTANBUL)","Devlet","FELSEFE","1","%2,0","3","% 8,3","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=102270182"
"BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ (BURDUR)","Devlet","FELSEFE","3","%9,4","3","% 9,4","3","% 9,7","https://yokatlas.yok.gov.tr/lisans.php?y=107310507"
"BURSA ULUDAĞ ÜNİVERSİTESİ (BURSA)","Devlet","FELSEFE","9","%12,2","2","% 3,8","1","% 2,8","https://yokatlas.yok.gov.tr/lisans.php?y=109710127"
"ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ (ÇANAKKALE)","Devlet","FELSEFE","2","%4,9","3","% 7,1","1","% 2,7","https://yokatlas.yok.gov.tr/lisans.php?y=102790237"
"ÇANKIRI KARATEKİN ÜNİVERSİTESİ (ÇANKIRI)","Devlet","FELSEFE","1","%2,4","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=102890277"
"DİCLE ÜNİVERSİTESİ (DİYARBAKIR)","Devlet","FELSEFE","2","%3,9","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=103090310"
"DOKUZ EYLÜL ÜNİVERSİTESİ (İZMİR)","Devlet","FELSEFE","2","%3,2","Bulunamadı","Bulunamadı","2","% 6,5","https://yokatlas.yok.gov.tr/lisans.php?y=103110742"
"DÜZCE ÜNİVERSİTESİ (DÜZCE)","Devlet","FELSEFE","2","%6,3","1","% 3,1","3","% 9,4","https://yokatlas.yok.gov.tr/lisans.php?y=103310607"
"EGE ÜNİVERSİTESİ (İZMİR)","Devlet","FELSEFE","Bulunamadı","Bulunamadı","2","% 4,9","1","% 2,8","https://yokatlas.yok.gov.tr/lisans.php?y=103410078"
"EGE ÜNİVERSİTESİ (İZMİR)","Devlet","FELSEFE","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=103410978"
"ERCİYES ÜNİVERSİTESİ (KAYSERİ)","Devlet","FELSEFE","5","%7,8","1","% 1,9","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=103510905"
"ERZURUM TEKNİK ÜNİVERSİTESİ (ERZURUM)","Devlet","FELSEFE","3","%11,1","3","% 11,1","3","% 11,1","https://yokatlas.yok.gov.tr/lisans.php?y=103710084"
"GALATASARAY ÜNİVERSİTESİ (İSTANBUL)","Devlet","FELSEFE","2","%6,3","3","% 9,4","3","% 9,4","https://yokatlas.yok.gov.tr/lisans.php?y=104010016"
"GAZİANTEP ÜNİVERSİTESİ (GAZİANTEP)","Devlet","FELSEFE","5","%6,3","2","% 3,8","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=104210632"
"GÜMÜŞHANE ÜNİVERSİTESİ (GÜMÜŞHANE)","Devlet","FELSEFE","2","%7,4","6","% 18,8","4","% 12,5","https://yokatlas.yok.gov.tr/lisans.php?y=104710275"
"HACETTEPE ÜNİVERSİTESİ (ANKARA)","Devlet","FELSEFE","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=104810071"
"İNÖNÜ ÜNİVERSİTESİ (MALATYA)","Devlet","FELSEFE","9","%17,3","1","% 2,4","1","% 2,7","https://yokatlas.yok.gov.tr/lisans.php?y=105310443"
"İSTANBUL MEDENİYET ÜNİVERSİTESİ (İSTANBUL)","Devlet","FELSEFE","3","%4,7","5","% 11,9","2","% 5,4","https://yokatlas.yok.gov.tr/lisans.php?y=105410018"
"İSTANBUL ÜNİVERSİTESİ (İSTANBUL)","Devlet","FELSEFE","5","%6,0","4","% 5,6","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=105610158"
"İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ (İZMİR)","Devlet","FELSEFE","Bulunamadı","Bulunamadı","1","% 1,9","1","% 2,7","https://yokatlas.yok.gov.tr/lisans.php?y=105710209"
"KAHRAMANMARAŞ SÜTÇÜ İMAM ÜNİVERSİTESİ (KAHRAMANMARAŞ)","Devlet","FELSEFE","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=106090178"
"KARABÜK ÜNİVERSİTESİ (KARABÜK)","Devlet","FELSEFE","2","%6,3","4","% 12,5","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=106190453"
"KARAMANOĞLU MEHMETBEY ÜNİVERSİTESİ (KARAMAN)","Devlet","FELSEFE","3","%8,1","5","% 11,9","3","% 8,1","https://yokatlas.yok.gov.tr/lisans.php?y=106310176"
"KASTAMONU ÜNİVERSİTESİ (KASTAMONU)","Devlet","FELSEFE","5","%15,6","5","% 15,6","4","% 12,9","https://yokatlas.yok.gov.tr/lisans.php?y=106410148"
"KIRIKKALE ÜNİVERSİTESİ (KIRIKKALE)","Devlet","FELSEFE","Bulunamadı","Bulunamadı","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=106690391"
"KIRKLARELİ ÜNİVERSİTESİ (KIRKLARELİ)","Devlet","FELSEFE","2","%4,1","2","% 3,7","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=106710048"
"KIRŞEHİR AHİ EVRAN ÜNİVERSİTESİ (KIRŞEHİR)","Devlet","FELSEFE","2","%6,3","4","% 9,8","3","% 8,1","https://yokatlas.yok.gov.tr/lisans.php?y=100610367"
"KİLİS 7 ARALIK ÜNİVERSİTESİ (KİLİS)","Devlet","FELSEFE","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=106870411"
"KOCAELİ ÜNİVERSİTESİ (KOCAELİ)","Devlet","FELSEFE","2","%3,7","1","% 2,4","1","% 2,7","https://yokatlas.yok.gov.tr/lisans.php?y=106910107"
"MANİSA CELÂL BAYAR ÜNİVERSİTESİ (MANİSA)","Devlet","FELSEFE","2","%3,7","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=102590454"
"MARDİN ARTUKLU ÜNİVERSİTESİ (MARDİN)","Devlet","FELSEFE","1","%3,7","4","% 9,5","3","% 8,1","https://yokatlas.yok.gov.tr/lisans.php?y=107110069"
"MARMARA ÜNİVERSİTESİ (İSTANBUL)","Devlet","FELSEFE","2","%4,8","6","% 14,6","3","% 7,3","https://yokatlas.yok.gov.tr/lisans.php?y=107290433"
"MERSİN ÜNİVERSİTESİ (MERSİN)","Devlet","FELSEFE","1","%1,6","1","% 1,9","1","% 2,7","https://yokatlas.yok.gov.tr/lisans.php?y=107410118"
"MİMAR SİNAN GÜZEL SANATLAR ÜNİVERSİTESİ (İSTANBUL)","Devlet","FELSEFE","2","%3,1","1","% 1,9","1","% 2,7","https://yokatlas.yok.gov.tr/lisans.php?y=107510117"
"MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ (MUĞLA)","Devlet","FELSEFE","1","%1,6","1","% 2,4","1","% 2,7","https://yokatlas.yok.gov.tr/lisans.php?y=107610116"
"MUNZUR ÜNİVERSİTESİ (TUNCELİ)","Devlet","FELSEFE","1","%3,1","4","% 12,5","3","% 9,4","https://yokatlas.yok.gov.tr/lisans.php?y=109510192"
"MUŞ ALPARSLAN ÜNİVERSİTESİ (MUŞ)","Devlet","FELSEFE","2","%9,1","4","% 14,8","3","% 11,1","https://yokatlas.yok.gov.tr/lisans.php?y=107810105"
"NECMETTİN ERBAKAN ÜNİVERSİTESİ (KONYA)","Devlet","FELSEFE","8","%19,1","8","% 19,0","6","% 16,2","https://yokatlas.yok.gov.tr/lisans.php?y=107010334"
"NEVŞEHİR HACI BEKTAŞ VELİ ÜNİVERSİTESİ (NEVŞEHİR)","Devlet","FELSEFE","2","%6,3","2","% 6,5","2","% 6,5","https://yokatlas.yok.gov.tr/lisans.php?y=108010455"
"ONDOKUZ MAYIS ÜNİVERSİTESİ (SAMSUN)","Devlet","FELSEFE","3","%5,6","2","% 4,8","1","% 2,7","https://yokatlas.yok.gov.tr/lisans.php?y=108210692"
"ORTA DOĞU TEKNİK ÜNİVERSİTESİ (ANKARA)","Devlet","FELSEFE","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=108411219"
"ORTA DOĞU TEKNİK ÜNİVERSİTESİ (ANKARA)","Devlet","FELSEFE","1","%2,4","1","% 2,4","1","% 2,4","https://yokatlas.yok.gov.tr/lisans.php?y=108410115"
"PAMUKKALE ÜNİVERSİTESİ (DENİZLİ)","Devlet","FELSEFE","3","%4,7","1","% 1,9","1","% 2,7","https://yokatlas.yok.gov.tr/lisans.php?y=108610104"
"SAKARYA ÜNİVERSİTESİ (SAKARYA)","Devlet","FELSEFE","9","%14,1","4","% 7,4","3","% 8,1","https://yokatlas.yok.gov.tr/lisans.php?y=108810138"
"SELÇUK ÜNİVERSİTESİ (KONYA)","Devlet","FELSEFE","8","%14,8","4","% 12,5","4","% 12,5","https://yokatlas.yok.gov.tr/lisans.php?y=108911602"
"SİVAS CUMHURİYET ÜNİVERSİTESİ (SİVAS)","Devlet","FELSEFE","8","%15,4","4","% 9,5","5","% 13,5","https://yokatlas.yok.gov.tr/lisans.php?y=102610122"
"SÜLEYMAN DEMİREL ÜNİVERSİTESİ (ISPARTA)","Devlet","FELSEFE","2","%4,8","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=109290431"
"VAN YÜZÜNCÜ YIL ÜNİVERSİTESİ (VAN)","Devlet","FELSEFE","4","%9,5","5","% 11,9","4","% 10,8","https://yokatlas.yok.gov.tr/lisans.php?y=110210603"
"ZONGULDAK BÜLENT ECEVİT ÜNİVERSİTESİ (ZONGULDAK)","Devlet","FELSEFE","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=110390349"
"İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ (ANKARA)","Vakıf","FELSEFE","Bulunamadı","Bulunamadı","4","% 25,0","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=202110929"
"İSTANBUL 29 MAYIS ÜNİVERSİTESİ (İSTANBUL)","Vakıf","FELSEFE","2","%11,8","3","% 18,8","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=202210073"
"İSTANBUL 29 MAYIS ÜNİVERSİTESİ (İSTANBUL)","Vakıf","FELSEFE","1","%33,3","1","% 25,0","1","% 25,0","https://yokatlas.yok.gov.tr/lisans.php?y=202210028"
"İSTANBUL TOPKAPI ÜNİVERSİTESİ (İSTANBUL)","Vakıf","FELSEFE","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=205090366"
"İSTANBUL TOPKAPI ÜNİVERSİTESİ (İSTANBUL)","Vakıf","FELSEFE","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=205090373"
"KOÇ ÜNİVERSİTESİ (İSTANBUL)","Vakıf","FELSEFE","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=203910045"
"KOÇ ÜNİVERSİTESİ (İSTANBUL)","Vakıf","FELSEFE","1","%14,3","2","% 28,6","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=203910036"
"MALTEPE ÜNİVERSİTESİ (İSTANBUL)","Vakıf","FELSEFE","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=204111012"
"MALTEPE ÜNİVERSİTESİ (İSTANBUL)","Vakıf","FELSEFE","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","Veri Yok","https://yokatlas.yok.gov.tr/lisans.php?y=204110086"
"ÜSKÜDAR ÜNİVERSİTESİ (İSTANBUL)","Vakıf","FELSEFE","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=206552532"
"ÜSKÜDAR ÜNİVERSİTESİ (İSTANBUL)","Vakıf","FELSEFE","1","%20,0","1","% 25,0","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=206552531"
"YEDİTEPE ÜNİVERSİTESİ (İSTANBUL)","Vakıf","FELSEFE","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=206111096"
"YEDİTEPE ÜNİVERSİTESİ (İSTANBUL)","Vakıf","FELSEFE","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=206110168"
"ANADOLU ÜNİVERSİTESİ (ESKİŞEHİR)","Devlet","FELSEFE (AÇIKÖĞRETİM)","13","%3,1","6","% 2,9","12","% 11,3","https://yokatlas.yok.gov.tr/lisans.php?y=101010801"
"İSTANBUL ÜNİVERSİTESİ (İSTANBUL)","Devlet","FELSEFE (AÇIKÖĞRETİM)","10","%6,3","13","% 6,3","7","% 3,4","https://yokatlas.yok.gov.tr/lisans.php?y=105611174"
"ATATÜRK ÜNİVERSİTESİ (ERZURUM)","Devlet","FELSEFE GRUBU ÖĞRETMENLİĞİ","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=101410321"
"ÇUKUROVA ÜNİVERSİTESİ (ADANA)","Devlet","FELSEFE GRUBU ÖĞRETMENLİĞİ","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=102910058"
"GAZİ ÜNİVERSİTESİ (ANKARA)","Devlet","FELSEFE GRUBU ÖĞRETMENLİĞİ","1","%4,8","4","% 19,0","1","% 4,8","https://yokatlas.yok.gov.tr/lisans.php?y=104110245"
"ADIYAMAN ÜNİVERSİTESİ (ADIYAMAN)","Devlet","FEN BİLGİSİ ÖĞRETMENLİĞİ","5","%20,0","1","% 20,0","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=100210017"
"AFYON KOCATEPE ÜNİVERSİTESİ (AFYONKARAHİSAR)","Devlet","FEN BİLGİSİ ÖĞRETMENLİĞİ","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=100410687"
"AĞRI İBRAHİM ÇEÇEN ÜNİVERSİTESİ (AĞRI)","Devlet","FEN BİLGİSİ ÖĞRETMENLİĞİ","1","%14,3","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=100590106"
"AKDENİZ ÜNİVERSİTESİ (ANTALYA)","Devlet","FEN BİLGİSİ ÖĞRETMENLİĞİ","8","%15,4","2","% 5,9","1","% 5,6","https://yokatlas.yok.gov.tr/lisans.php?y=100710472"
"AKSARAY ÜNİVERSİTESİ (AKSARAY)","Devlet","FEN BİLGİSİ ÖĞRETMENLİĞİ","5","%16,1","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=100810126"
"ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ (ANTALYA)","Devlet","FEN BİLGİSİ ÖĞRETMENLİĞİ","2","%4,9","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=110510027"
"AMASYA ÜNİVERSİTESİ (AMASYA)","Devlet","FEN BİLGİSİ ÖĞRETMENLİĞİ","2","%7,7","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=100910019"
"ATATÜRK ÜNİVERSİTESİ (ERZURUM)","Devlet","FEN BİLGİSİ ÖĞRETMENLİĞİ","5","%8,1","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=101410339"
"AYDIN ADNAN MENDERES ÜNİVERSİTESİ (AYDIN)","Devlet","FEN BİLGİSİ ÖĞRETMENLİĞİ","5","%9,6","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=100310016"
"BALIKESİR ÜNİVERSİTESİ (BALIKESİR)","Devlet","FEN BİLGİSİ ÖĞRETMENLİĞİ","9","%17,3","3","% 30,0","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=101510189"
"BARTIN ÜNİVERSİTESİ (BARTIN)","Devlet","FEN BİLGİSİ ÖĞRETMENLİĞİ","3","%33,3","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=101610125"
"BAYBURT ÜNİVERSİTESİ (BAYBURT)","Devlet","FEN BİLGİSİ ÖĞRETMENLİĞİ","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","Bulunamadı","https://yokatlas.yok.gov.tr/lisans.php?y=101890259"
